094826	39.06000383	117.12845767
094826	39.06000367	117.12845767
094826	39.06000367	117.12845767
094828	39.06000367	117.12845767
094828	39.06000350	117.12845767
094829	39.06000350	117.12845767
094829	39.06000350	117.12845750
094830	39.06000333	117.12845750
094830	39.06000333	117.12845750
094831	39.06000333	117.12845750
094831	39.06000317	117.12845733
094832	39.06000317	117.12845733
094832	39.06000317	117.12845733
094833	39.06000300	117.12845733
094833	39.06000300	117.12845733
094834	39.06000300	117.12845717
094835	39.06000300	117.12845717
094836	39.06000283	117.12845700
094837	39.06000283	117.12845700
094837	39.06000283	117.12845700
094838	39.06000283	117.12845700
094838	39.06000267	117.12845683
094839	39.06000267	117.12845683
094840	39.06000250	117.12845667
094840	39.06000250	117.12845667
094841	39.06000233	117.12845650
094841	39.06000233	117.12845650
094842	39.06000217	117.12845633
094842	39.06000200	117.12845633
094843	39.06000200	117.12845617
094843	39.06000183	117.12845600
094844	39.06000167	117.12845600
094845	39.06000133	117.12845567
094845	39.06000117	117.12845567
094846	39.06000100	117.12845550
094846	39.06000100	117.12845533
094847	39.06000083	117.12845533
094848	39.06000067	117.12845517
094848	39.06000050	117.12845517
094849	39.06000050	117.12845517
094849	39.06000033	117.12845517
094850	39.06000033	117.12845517
094851	39.06000017	117.12845533
094852	39.06000017	117.12845550
094852	39.06000017	117.12845550
094853	39.06000017	117.12845550
094853	39.06000017	117.12845550
094854	39.06000017	117.12845550
094855	39.06000017	117.12845550
094855	39.06000000	117.12845567
094856	39.06000000	117.12845567
094856	39.06000000	117.12845567
094857	39.06000000	117.12845567
094857	39.06000000	117.12845567
094858	39.06000000	117.12845567
094858	39.06000000	117.12845567
094859	39.05999983	117.12845567
094900	39.05999983	117.12845567
094901	39.05999983	117.12845567
094901	39.05999983	117.12845567
094902	39.05999983	117.12845550
094903	39.05999983	117.12845550
094904	39.05999983	117.12845550
094904	39.05999983	117.12845550
094905	39.05999983	117.12845550
094906	39.05999967	117.12845550
094906	39.05999967	117.12845550
094907	39.05999967	117.12845550
094907	39.05999967	117.12845550
094908	39.05999967	117.12845550
094908	39.05999967	117.12845550
094909	39.05999967	117.12845550
094909	39.05999967	117.12845550
094911	39.05999967	117.12845567
094911	39.05999967	117.12845567
094912	39.05999967	117.12845567
094913	39.05999967	117.12845567
094914	39.05999967	117.12845567
094915	39.05999950	117.12845567
094916	39.05999950	117.12845550
094916	39.05999950	117.12845550
094917	39.05999933	117.12845533
094918	39.05999917	117.12845533
094918	39.05999917	117.12845517
094919	39.05999900	117.12845500
094921	39.05999883	117.12845483
094921	39.05999867	117.12845467
094922	39.05999867	117.12845467
094923	39.05999850	117.12845450
094923	39.05999850	117.12845433
094924	39.05999850	117.12845433
094924	39.05999850	117.12845433
094925	39.05999833	117.12845433
094925	39.05999833	117.12845417
094926	39.05999817	117.12845417
094926	39.05999817	117.12845417
094927	39.05999800	117.12845400
094928	39.05999800	117.12845400
094929	39.05999783	117.12845400
094929	39.05999783	117.12845383
094930	39.05999767	117.12845383
094930	39.05999767	117.12845383
094931	39.05999767	117.12845383
094932	39.05999767	117.12845367
094932	39.05999750	117.12845367
094933	39.05999750	117.12845367
094933	39.05999750	117.12845350
094934	39.05999750	117.12845350
094934	39.05999750	117.12845350
094935	39.05999750	117.12845333
094935	39.05999750	117.12845333
094936	39.05999733	117.12845317
094936	39.05999733	117.12845317
094937	39.05999733	117.12845300
094938	39.05999733	117.12845300
094938	39.05999733	117.12845300
094939	39.05999717	117.12845300
094940	39.05999717	117.12845300
094940	39.05999717	117.12845300
094941	39.05999700	117.12845300
094942	39.05999700	117.12845300
094942	39.05999683	117.12845300
094943	39.05999667	117.12845300
094944	39.05999650	117.12845300
094944	39.05999650	117.12845300
094945	39.05999650	117.12845283
094945	39.05999650	117.12845283
094946	39.05999633	117.12845283
094946	39.05999633	117.12845300
094947	39.05999633	117.12845300
094947	39.05999633	117.12845300
094949	39.05999633	117.12845317
094949	39.05999633	117.12845317
094950	39.05999633	117.12845333
094950	39.05999633	117.12845333
094951	39.05999633	117.12845350
094951	39.05999633	117.12845350
094952	39.05999633	117.12845350
094952	39.05999633	117.12845367
094953	39.05999633	117.12845367
094954	39.05999633	117.12845383
094954	39.05999633	117.12845383
094955	39.05999633	117.12845383
094955	39.05999617	117.12845400
094956	39.05999617	117.12845400
094956	39.05999617	117.12845417
094957	39.05999617	117.12845417
094958	39.05999600	117.12845433
094959	39.05999600	117.12845433
094959	39.05999583	117.12845450
095000	39.05999583	117.12845450
095000	39.05999583	117.12845450
095001	39.05999583	117.12845450
095001	39.05999583	117.12845467
095002	39.05999583	117.12845467
095003	39.05999567	117.12845467
095003	39.05999567	117.12845467
095004	39.05999567	117.12845467
095004	39.05999567	117.12845467
095005	39.05999567	117.12845483
095006	39.05999567	117.12845483
095006	39.05999567	117.12845483
095007	39.05999567	117.12845483
095008	39.05999583	117.12845500
095008	39.05999583	117.12845500
095009	39.05999583	117.12845517
095009	39.05999583	117.12845517
095010	39.05999583	117.12845517
095010	39.05999583	117.12845533
095011	39.05999600	117.12845533
095011	39.05999600	117.12845550
095012	39.05999600	117.12845567
095012	39.05999617	117.12845583
095013	39.05999617	117.12845583
095014	39.05999617	117.12845617
095014	39.05999633	117.12845617
095015	39.05999633	117.12845617
095016	39.05999633	117.12845617
095016	39.05999617	117.12845633
095017	39.05999617	117.12845633
095018	39.05999617	117.12845633
095018	39.05999617	117.12845633
095019	39.05999600	117.12845617
095020	39.05999600	117.12845617
095020	39.05999600	117.12845617
095021	39.05999600	117.12845617
